company,job_title,company_rating,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
ABB,Junior Data Analyst,4,Bengaluru,325236,/yr (est.),10000+ Employees,1883,Company - Public,Electronics Manufacturing,Electronics Manufacturing,$10+ billion (USD),3.7,3.6,4,3.5,3.9
Philips,Data Scientist - AI/ML,4,Bengaluru,0,Unknown,10000+ Employees,1891,Company - Public,Healthcare Services & Hospitals,Healthcare Services & Hospitals,$10+ billion (USD),3.8,3.7,4,3.5,4
HSBC,Data Science GSC’s,3.9,Bengaluru,0,Unknown,10000+ Employees,1865,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),3.6,3.6,3.8,3.4,3.7
Facctum Solutions,Data Analyst,,Karnataka,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
JPMorgan Chase & Co,Data and Analytics - Associate,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Sanfoundry,Data Scientist - Fresher,,Hyderābād,416516,/yr (est.),1 to 50 Employees,Unknown,Self-employed,Colleges & Universities,Colleges & Universities,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
Beinex,Trainee in Data Science,3.9,Cochin,280977,/yr (est.),201 to 500 Employees,2017,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,3.8,3.6,3.9,3.9,3.5
Sanfoundry,Junior Software Engineer - Data Science - Fresher,,Hyderābād,382623,/yr (est.),1 to 50 Employees,Unknown,Self-employed,Colleges & Universities,Colleges & Universities,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
Oracle,Data Scientist,3.8,Bengaluru,709930,/yr (est.),10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$10+ billion (USD),3.6,3.5,3.7,3.5,4
PhonePe,Data Scientist,4.1,Bengaluru,1024695,/yr (est.),5001 to 10000 Employees,2015,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,4,4.2,4.1,3.7,3.8
Hyqoo,Data Annotator,4.5,Remote,0,Unknown,51 to 200 Employees,2018,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,4.3,4.1,4.5,4.2,3.9
BigShyft,Data Scientist,3.9,Bengaluru,2000000,/yr (est.),1 to 50 Employees,2018,Company - Private,HR Consulting,HR Consulting,Less than $1 million (USD),3.7,3.8,3.5,3.3,3.1
Findem,Researcher - Data Operations Intern,4.3,Remote,9000,/mo (est.),51 to 200 Employees,2019,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,4.2,4.3,4.1,4.2,4
Sanfoundry,Junior Data Scientist,,Hyderābād,0,Unknown,1 to 50 Employees,Unknown,Self-employed,Colleges & Universities,Colleges & Universities,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
News Corp,Data Analyst,3.6,Bengaluru,522206,/yr (est.),10000+ Employees,2013,Company - Public,Publishing,Publishing,$5 to $10 billion (USD),3.5,3.4,3.3,3.2,3.5
"Medpace, Inc.",Clinical Data Coder,3.4,Thāne,579224,/yr (est.),5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),3.3,3,3.2,3,3.2
Infosys,Data Scientist,3.8,Bengaluru,0,Unknown,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.8,3,4,3.5,3.7
Microsoft,Data Annotation Specialist,4.2,Hyderābād,317979,/yr (est.),10000+ Employees,1975,Company - Public,Computer Hardware Development,Computer Hardware Development,$10+ billion (USD),4,4.1,4.2,3.8,4.1
Skyla Software Solution,Data Entry Operator,,Jamshedpur,84853,/yr (est.),1 to 50 Employees,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,4,3,5,4,2
TVS Supply Chain Solutions,Data Entry Operator,3.4,Bengaluru,255288,/yr (est.),501 to 1000 Employees,Unknown,Company - Private,Shipping & Trucking,Shipping & Trucking,Unknown / Non-Applicable,3.2,2.9,3,3,3
